??_A,,,,
t,x,,x2,v
18.40 ,875.07 ,,84.79 ,6.028021797
18.44 ,877.08 ,,84.99 ,6.026082609
18.47 ,879.09 ,,85.19 ,6.006974177
18.50 ,881.10 ,,85.39 ,6.029397976
18.54 ,883.11 ,,85.59 ,5.886440049
18.57 ,885.07 ,,85.79 ,6.231730761
18.60 ,887.15 ,,86.00 ,6.096591349
18.64 ,889.18 ,,86.20 ,5.788243929
18.67 ,891.11 ,,86.39 ,5.715201167
18.70 ,893.01 ,,86.59 ,6.335375205
18.74 ,895.13 ,,86.80 ,4.942219103
18.77 ,896.77 ,,86.96 ,5.115518336
18.80 ,898.48 ,,87.13 ,5.364294158
18.84 ,900.27 ,,87.31 ,5.570238963
18.87 ,902.12 ,,87.50 ,4.402800949
18.90 ,903.59 ,,87.64 ,5.719902012
18.94 ,905.50 ,,87.83 ,5.157341815
18.97 ,907.22 ,,88.01 ,5.083431593
19.00 ,908.91 ,,88.18 ,5.420956852
19.04 ,910.72 ,,88.36 ,4.770665923
19.07 ,912.31 ,,88.52 ,5.950665428
19.10 ,914.29 ,,88.71 ,4.832030593
19.14 ,915.91 ,,88.87 ,5.390296079
19.17 ,917.70 ,,89.05 ,5.668681442
19.20 ,919.59 ,,89.24 ,5.363167539
19.24 ,921.38 ,,89.42 ,5.424486985
19.27 ,923.19 ,,89.60 ,6.348669969
19.30 ,925.31 ,,89.81 ,5.821248579
19.34 ,927.25 ,,90.01 ,5.762340092
19.37 ,929.17 ,,90.20 ,6.443881268
19.40 ,931.32 ,,90.42 ,6.452125443
19.44 ,933.47 ,,90.63 ,7.549540324
19.47 ,935.98 ,,90.88 ,6.138471548
19.50 ,938.03 ,,91.09 ,7.640970296
19.54 ,940.58 ,,91.34 ,6.858125499
19.57 ,942.86 ,,91.57 ,7.935834631
19.60 ,945.51 ,,91.83 ,6.552617394
19.64 ,947.69 ,,92.05 ,7.671537184
19.67 ,950.25 ,,92.31 ,8.471462136
19.70 ,953.08 ,,92.59 ,8.066914447
19.74 ,955.77 ,,92.86 ,8.200698588
19.77 ,958.50 ,,93.13 ,8.538979786
19.80 ,961.35 ,,93.42 ,8.026130901
19.84 ,964.02 ,,93.69 ,8.575528013
19.87 ,966.88 ,,93.97 ,9.188614733
19.90 ,969.94 ,,94.28 ,8.951139952
19.94 ,972.93 ,,94.58 ,9.206310746
19.97 ,976.00 ,,94.88 ,8.571262998
20.00 ,978.86 ,,95.17 ,9.04148872
20.04 ,981.87 ,,95.47 ,9.651550496
20.07 ,985.09 ,,95.79 ,9.776365238
20.10 ,988.35 ,,96.12 ,8.876762104
20.14 ,991.31 ,,96.41 ,9.538991922
20.17 ,994.49 ,,96.73 ,9.733633805
20.20 ,997.73 ,,97.06 ,9.565269961
20.24 ,1000.92 ,,97.38 ,9.60839793
20.27 ,1004.12 ,,97.70 ,9.425184545
20.30 ,1007.27 ,,98.01 ,10.33965342
20.34 ,1010.71 ,,98.36 ,8.604219302
20.37 ,1013.58 ,,98.64 ,9.899276186
20.40 ,1016.88 ,,98.97 ,8.849154286
20.44 ,1019.83 ,,99.27 ,9.624220388
20.47 ,1023.04 ,,99.59 ,10.07120856
20.50 ,1026.40 ,,99.92 ,8.698428163
20.54 ,1029.30 ,,100.21 ,9.457540173
20.57 ,1032.45 ,,100.53 ,10.24146112
20.60 ,1035.87 ,,100.87 ,9.010938942
20.64 ,1038.87 ,,101.17 ,9.817854271
20.67 ,1042.14 ,,101.50 ,9.368031557
20.70 ,1045.27 ,,101.81 ,6.75937874
20.74 ,1047.52 ,,102.04 ,
