??_A,,,,
t,x,,x2,v
4.17 ,113.96 ,,8.68 ,2.172344974
4.20 ,114.68 ,,8.75 ,2.58579783
4.23 ,115.54 ,,8.84 ,2.998252001
4.27 ,116.54 ,,8.94 ,0.956447242
4.30 ,116.86 ,,8.97 ,1.969190274
4.33 ,117.52 ,,9.04 ,1.384116689
4.37 ,117.98 ,,9.08 ,0.696303562
4.40 ,118.21 ,,9.11 ,0.519021846
4.43 ,118.38 ,,9.12 ,0.814985483
4.47 ,118.66 ,,9.15 ,0.329653895
4.50 ,118.77 ,,9.16 ,-0.157013658
4.53 ,118.71 ,,9.16 ,0.1909667
4.57 ,118.78 ,,9.16 ,0.025474004
4.60 ,118.78 ,,9.16 ,-0.368441869
4.63 ,118.66 ,,9.15 ,-1.544302292
4.67 ,118.15 ,,9.10 ,-1.077722845
4.70 ,117.79 ,,9.06 ,-0.945521498
4.73 ,117.47 ,,9.03 ,-1.299634632
4.77 ,117.04 ,,8.99 ,-0.869227863
4.80 ,116.75 ,,8.96 ,-1.807337198
4.83 ,116.15 ,,8.90 ,-0.447277896
4.87 ,116.00 ,,8.88 ,-1.642454659
4.90 ,115.45 ,,8.83 ,-0.419519146
4.93 ,115.31 ,,8.82 ,-1.52948472
4.97 ,114.80 ,,8.76 ,-0.840375176
5.00 ,114.52 ,,8.74 ,-1.033863596
5.03 ,114.18 ,,8.70 ,-0.506123036
5.07 ,114.01 ,,8.68 ,-0.185245714
5.10 ,113.95 ,,8.68 ,0.02805449
5.13 ,113.95 ,,8.68 ,0.061491015
5.17 ,113.98 ,,8.68 ,-0.027233221
5.20 ,113.97 ,,8.68 ,0.358978691
5.23 ,114.09 ,,8.69 ,0.081324124
5.27 ,114.11 ,,8.70 ,1.318540331
5.30 ,114.55 ,,8.74 ,1.11358238
5.33 ,114.92 ,,8.78 ,0.863844902
5.37 ,115.21 ,,8.81 ,1.378665966
5.40 ,115.67 ,,8.85 ,1.324082501
5.43 ,116.11 ,,8.90 ,1.893789954
5.47 ,116.74 ,,8.96 ,2.579769476
5.50 ,117.60 ,,9.04 ,1.21158139
5.53 ,118.01 ,,9.08 ,2.060261992
5.57 ,118.69 ,,9.15 ,2.557222024
5.60 ,119.55 ,,9.24 ,2.101863804
5.63 ,120.25 ,,9.31 ,2.023495403
5.67 ,120.92 ,,9.38 ,2.448738467
5.70 ,121.74 ,,9.46 ,1.84977533
5.73 ,122.36 ,,9.52 ,2.05747844
5.77 ,123.04 ,,9.59 ,2.019101049
5.80 ,123.71 ,,9.66 ,1.989266106
5.83 ,124.38 ,,9.72 ,1.960804522
5.87 ,125.03 ,,9.79 ,2.130223345
5.90 ,125.74 ,,9.86 ,2.186194947
5.93 ,126.47 ,,9.93 ,1.597567427
5.97 ,127.00 ,,9.98 ,2.054102782
6.00 ,127.69 ,,10.05 ,1.83108198
6.03 ,128.30 ,,10.11 ,1.917306474
6.07 ,128.94 ,,10.18 ,1.813241203
6.10 ,129.54 ,,10.24 ,1.156693815
6.13 ,129.93 ,,10.28 ,1.262089407
6.17 ,130.35 ,,10.32 ,0.51079117
6.20 ,130.52 ,,10.34 ,1.850110376
6.23 ,131.14 ,,10.40 ,1.85164433
6.27 ,131.75 ,,10.46 ,1.648074206
6.30 ,132.30 ,,10.51 ,0.607006718
6.33 ,132.51 ,,10.53 ,1.778311465
6.37 ,133.10 ,,10.59 ,0.713273334
6.40 ,133.34 ,,10.62 ,1.312684373
6.43 ,133.77 ,,10.66 ,0.590467959
6.47 ,133.97 ,,10.68 ,1.741125597
6.50 ,134.55 ,,10.74 ,1.228701174
6.53 ,134.96 ,,10.78 ,2.351465008
6.57 ,135.74 ,,10.86 ,0.710411494
6.60 ,135.98 ,,10.88 ,1.659940598
6.63 ,136.53 ,,10.94 ,2.008242555
6.67 ,137.20 ,,11.00 ,0.661030433
6.70 ,137.42 ,,11.03 ,1.842314874
6.73 ,138.04 ,,11.09 ,1.88964672
6.77 ,138.67 ,,11.15 ,2.673962354
6.80 ,139.56 ,,11.24 ,1.511324439
6.83 ,140.06 ,,11.29 ,2.631817109
6.87 ,140.94 ,,11.38 ,2.399881123
6.90 ,141.74 ,,11.46 ,2.63654165
6.93 ,142.62 ,,11.55 ,3.712346792
6.97 ,143.86 ,,11.67 ,2.264468564
7.00 ,144.61 ,,11.75 ,3.031149512
7.03 ,145.62 ,,11.85 ,3.224404748
7.07 ,146.70 ,,11.95 ,4.189259735
7.10 ,148.10 ,,12.09 ,3.720013371
7.13 ,149.34 ,,12.22 ,2.770280467
7.17 ,150.26 ,,12.31 ,2.995557834
7.20 ,151.26 ,,12.41 ,3.328723475
7.23 ,152.37 ,,12.52 ,3.191619515
7.27 ,153.43 ,,12.63 ,3.763642857
7.30 ,154.69 ,,12.75 ,2.807029058
7.33 ,155.62 ,,12.85 ,3.442225328
7.37 ,156.77 ,,12.96 ,2.663206983
7.40 ,157.66 ,,13.05 ,3.548809293
7.43 ,158.84 ,,13.17 ,3.06885795
7.47 ,159.86 ,,13.27 ,2.895014811
7.50 ,160.83 ,,13.37 ,3.125875184
7.53 ,161.87 ,,13.47 ,3.018666629
7.57 ,162.88 ,,13.57 ,2.613270791
7.60 ,163.75 ,,13.66 ,2.205216389
7.63 ,164.48 ,,13.73 ,2.590839719
7.67 ,165.35 ,,13.82 ,2.908274266
7.70 ,166.32 ,,13.92 ,2.120685115
7.73 ,167.02 ,,13.99 ,2.208187412
7.77 ,167.76 ,,14.06 ,2.384409382
7.80 ,168.56 ,,14.14 ,1.694500441
7.83 ,169.12 ,,14.20 ,2.140912727
7.87 ,169.83 ,,14.27 ,2.826466017
7.90 ,170.78 ,,14.36 ,2.497860969
7.93 ,171.61 ,,14.44 ,2.646277484
7.97 ,172.49 ,,14.53 ,2.286189204
8.00 ,173.25 ,,14.61 ,3.367833087
8.03 ,174.38 ,,14.72 ,2.921905874
8.07 ,175.35 ,,14.82 ,3.371135155
8.10 ,176.47 ,,14.93 ,2.891465868
8.13 ,177.44 ,,15.03 ,3.616345728
8.17 ,178.64 ,,15.15 ,3.960096875
8.20 ,179.96 ,,15.28 ,4.084053748
8.23 ,181.33 ,,15.42 ,4.130125017
8.27 ,182.70 ,,15.55 ,4.227432798
8.30 ,184.11 ,,15.70 ,4.393842614
8.33 ,185.58 ,,15.84 ,5.978895033
8.37 ,187.57 ,,16.04 ,5.518900082
8.40 ,189.41 ,,16.23 ,6.335116077
8.43 ,191.52 ,,16.44 ,6.21647034
8.47 ,193.59 ,,16.64 ,7.265965623
8.50 ,196.02 ,,16.89 ,6.726864487
8.53 ,198.26 ,,17.11 ,6.931596177
8.57 ,200.57 ,,17.34 ,7.776905051
8.60 ,203.16 ,,17.60 ,7.842884178
8.63 ,205.78 ,,17.86 ,8.153623124
8.67 ,208.50 ,,18.13 ,8.264428363
8.70 ,211.25 ,,18.41 ,8.061775189
8.73 ,213.94 ,,18.68 ,8.696503789
8.77 ,216.84 ,,18.97 ,9.59722655
8.80 ,220.04 ,,19.29 ,8.573182175
8.83 ,222.90 ,,19.57 ,9.865988148
8.87 ,226.19 ,,19.90 ,8.446429452
8.90 ,229.00 ,,20.18 ,9.948921813
8.93 ,232.32 ,,20.52 ,9.883286963
8.97 ,235.61 ,,20.85 ,10.30131506
9.00 ,239.05 ,,21.19 ,9.6797034
9.03 ,242.27 ,,21.51 ,9.396575007
9.07 ,245.41 ,,21.82 ,9.765102669
9.10 ,248.66 ,,22.15 ,11.06906324
9.13 ,252.35 ,,22.52 ,9.544926958
9.17 ,255.54 ,,22.84 ,10.04056938
9.20 ,258.88 ,,23.17 ,9.995609906
9.23 ,262.22 ,,23.51 ,10.44347991
9.27 ,265.70 ,,23.85 ,10.55462462
9.30 ,269.22 ,,24.21 ,10.1082067
9.33 ,272.59 ,,24.54 ,11.68777252
9.37 ,276.48 ,,24.93 ,9.98264449
9.40 ,279.81 ,,25.27 ,10.85277431
9.43 ,283.43 ,,25.63 ,10.12745491
9.47 ,286.80 ,,25.96 ,10.31045129
9.50 ,290.24 ,,26.31 ,11.34880663
9.53 ,294.03 ,,26.69 ,9.279654103
9.57 ,297.12 ,,27.00 ,11.18203738
9.60 ,300.85 ,,27.37 ,10.0211367
9.63 ,304.19 ,,27.70 ,11.93372883
9.67 ,308.17 ,,28.10 ,10.26312669
9.70 ,311.59 ,,28.44 ,10.22873243
