t,x,,xc,v
0.03,-130.83,,0,-0.01
0.07,-130.83,,0,0
0.1,-130.73,,0.02,0.71
0.13,-129.95,,0.21,5.47
0.17,-129.01,,0.42,6.56
0.2,-127.98,,0.66,7.21
0.23,-126.82,,0.93,8.09
0.27,-125.45,,1.25,9.57
0.3,-124.01,,1.59,10.08
0.33,-122.44,,1.96,10.99
0.37,-120.86,,2.32,11.02
0.4,-119.17,,2.72,11.79
0.43,-117.42,,3.12,12.26
0.47,-115.85,,3.49,10.95
0.5,-114.1,,3.9,12.25
0.53,-112.62,,4.24,10.36
0.57,-111.11,,4.59,10.52
0.6,-109.69,,4.92,9.93
0.63,-108.63,,5.17,7.38
0.67,-107.74,,5.38,6.26
0.7,-106.71,,5.62,7.19
0.73,-105.92,,5.8,5.54
0.77,-105.36,,5.93,3.88
0.8,-104.86,,6.05,3.51
0.83,-104.71,,6.08,1.02
0.87,-104.47,,6.14,1.73
0.9,-104.23,,6.2,1.64
0.93,-103.97,,6.26,1.85
0.97,-103.91,,6.27,0.38
1,-103.88,,6.28,0.21
1.03,-103.92,,6.27,-0.26
1.07,-103.88,,6.28,0.26
1.1,-103.87,,6.28,0.11
1.13,-103.82,,6.29,0.3
1.17,-103.79,,6.3,0.21
1.2,-103.67,,6.33,0.84
1.23,-102.95,,6.5,5.08
1.27,-102.8,,6.53,1.02
1.3,-102.1,,6.69,4.87
1.33,-101.55,,6.82,3.9
1.37,-100.83,,6.99,5
1.4,-99.94,,7.2,6.24
1.43,-98.92,,7.43,7.13
1.47,-97.95,,7.66,6.79
1.5,-96.85,,7.91,7.64
1.53,-95.77,,8.17,7.56
1.57,-94.69,,8.42,7.59
1.6,-93.69,,8.65,6.97
1.63,-92.6,,8.91,7.63
1.67,-91.56,,9.15,7.22
1.7,-90.54,,9.39,7.14
1.73,-89.22,,9.69,9.27
1.77,-88.19,,9.93,7.17
1.8,-87.17,,10.17,7.13
1.83,-86.18,,10.4,6.95
1.87,-85.2,,10.63,6.83
1.9,-84.29,,10.84,6.38
1.93,-83.33,,11.07,6.68
1.97,-82.42,,11.28,6.34
2,-81.89,,11.4,3.74
2.03,-81.19,,11.56,4.86
2.07,-80.55,,11.71,4.5
2.1,-79.99,,11.84,3.94
2.13,-79.35,,11.99,4.43
2.17,-78.94,,12.09,2.9
2.2,-78.32,,12.23,4.3
2.23,-77.72,,12.37,4.17
2.27,-77.28,,12.47,3.07
2.3,-76.89,,12.56,2.73
2.33,-76.32,,12.7,4.02
2.37,-75.49,,12.89,5.83
2.4,-74.85,,13.04,4.43
2.43,-74.29,,13.17,3.95
2.47,-73.42,,13.37,6.05
2.5,-72.59,,13.57,5.79
2.53,-71.85,,13.74,5.22
2.57,-71.05,,13.93,5.57
2.6,-70.23,,14.12,5.74
2.63,-69.21,,14.36,7.13
2.67,-68.32,,14.56,6.21
2.7,-67.27,,14.81,7.3
2.73,-66.44,,15,5.84
2.77,-65.27,,15.27,8.16
2.8,-64.22,,15.52,7.34
2.83,-63.18,,15.76,7.28
2.87,-62.02,,16.03,8.11
2.9,-60.91,,16.29,7.72
2.93,-60,,16.5,6.38
2.97,-58.93,,16.75,7.49
3,-57.97,,16.97,6.67
3.03,-57.02,,17.19,6.64
3.07,-56.14,,17.4,6.19
3.1,-55.13,,17.64,7.07
3.13,-54.02,,17.89,7.71
3.17,-53.05,,18.12,6.81
3.2,-52.05,,18.35,6.98
3.23,-50.92,,18.62,7.89
3.27,-50.08,,18.81,5.87
3.3,-49,,19.06,7.54
3.33,-47.4,,19.44,11.2
3.37,-46.15,,19.73,8.77
3.4,-45.09,,19.97,7.35
3.43,-44.01,,20.23,7.58
3.47,-42.87,,20.49,7.98
3.5,-41.49,,20.81,9.62
3.53,-39.96,,21.17,10.71
3.57,-38.5,,21.51,10.19
3.6,-36.54,,21.96,13.67
3.63,-34.65,,22.41,13.22
3.67,-32.51,,22.9,14.95
3.7,-30.57,,23.36,13.54
3.73,-28.48,,23.84,14.65
3.77,-26.34,,24.34,14.95
3.8,-23.8,,24.93,17.71
3.83,-21.36,,25.5,17.08
3.87,-18.76,,26.11,18.16
3.9,-16.02,,26.75,19.14
3.93,-13.43,,27.35,18.15
3.97,-10.64,,28,19.47
4,-7.64,,28.7,21.01
4.03,-4.6,,29.41,21.2
4.07,-1.36,,30.16,22.67
4.1,1.5,,30.83,21.02
4.13,4.67,,31.56,22.13
4.17,7.85,,32.31,22.25
4.2,10.94,,33.03,21.57
4.23,14.05,,33.75,21.75
4.27,17.63,,34.58,24.99
4.3,20.77,,35.32,22
4.33,24.37,,36.16,25.16
4.37,27.76,,36.94,23.66
4.4,31.1,,37.72,23.34
4.43,34.56,,38.53,24.17
4.47,38.28,,39.4,26.06
4.5,41.66,,40.18,23.57
4.53,45.6,,41.1,27.54
4.57,48.82,,41.85,22.49
4.6,52.34,,42.67,24.64
4.63,55.96,,43.51,25.29
4.67,59.37,,44.31,23.82
4.7,63.04,,45.16,25.64
4.73,66.66,,46.01,25.31
4.77,70.08,,46.8,23.92
4.8,73.77,,47.66,25.8
4.83,77.51,,48.53,26.12
4.87,81.35,,49.43,26.83
4.9,85.15,,50.31,26.52
4.93,89.31,,51.28,29.12
4.97,93.04,,52.15,26.02
5,96.74,,53.01,25.9
5.03,100.58,,53.91,26.84
5.07,104.32,,54.78,26.09
5.1,108.33,,55.71,28.07
5.13,111.86,,56.54,24.63
5.17,115.77,,57.45,27.38
5.2,119.4,,58.29,25.33
5.23,123.38,,59.22,27.81
5.27,126.79,,60.01,23.84
5.3,130.43,,60.86,25.41
5.33,134.45,,61.8,28.09
5.37,138.09,,62.65,25.44
5.4,142.2,,63.6,28.76
5.43,145.83,,64.45,25.39
5.47,149.66,,65.34,26.72
5.5,153.44,,66.22,26.42
5.53,157.43,,67.15,27.92
5.57,161.17,,68.02,26.11
5.6,164.73,,68.85,24.86
5.63,168.6,,69.75,27.07
5.67,172.21,,70.59,25.21
5.7,175.7,,71.41,24.38
5.73,179.62,,72.32,27.45
5.77,183.2,,73.16,25.01
5.8,187.18,,74.08,27.78
5.83,191.01,,74.98,26.8
5.87,194.61,,75.81,25.14
5.9,198.57,,76.73,27.65
5.93,202.19,,77.58,25.31
5.97,206.26,,78.53,28.44
6,209.76,,79.34,24.46
6.03,213.69,,80.26,27.51
6.07,217.37,,81.11,25.67
6.1,220.81,,81.92,24.05
6.13,224.73,,82.83,27.38
6.17,228.26,,83.65,24.7
6.2,232.19,,84.57,27.5
6.23,235.63,,85.37,23.99
6.27,239.28,,86.22,25.52
6.3,243.23,,87.14,27.6
6.33,246.59,,87.92,23.47
6.37,250.59,,88.85,27.98
6.4,253.88,,89.62,22.97
6.43,257.18,,90.39,23.07
6.47,261.32,,91.35,28.97
6.5,264.7,,92.14,23.58
6.53,268.57,,93.04,27.1
6.57,271.87,,93.81,23.05
6.6,275.69,,94.7,26.7
6.63,279.09,,95.49,23.76
6.67,282.39,,96.26,23.06
6.7,285.5,,96.99,21.69
6.73,289.26,,97.86,26.3
6.77,292.46,,98.61,22.4
6.8,295.5,,99.32,21.24
6.83,299.24,,100.19,26.15
6.87,302.46,,100.94,22.46
6.9,305.48,,101.64,21.14
6.93,309.01,,102.46,24.67
6.97,312.29,,103.23,22.87
7,315.42,,103.96,21.93
7.03,318.8,,104.74,23.59
7.07,322.08,,105.51,22.95
7.1,325.31,,106.26,22.55
7.13,328.65,,107.04,23.33
7.17,331.54,,107.71,20.21
7.2,334.83,,108.48,23.01
7.23,337.72,,109.15,20.16
7.27,341.36,,110,25.43
