t,x,,x??,v
35.76,-322.88,,24.48,2.06
35.8,-322.01,,24.54,1.83
35.83,-321.24,,24.61,0.81
35.86,-320.9,,24.63,1.31
35.9,-320.35,,24.68,0.49
35.93,-320.14,,24.69,0.45
35.96,-319.95,,24.71,0.19
36,-319.87,,24.71,-0.09
36.03,-319.91,,24.71,0.36
36.06,-319.75,,24.72,-0.6
36.1,-320.01,,24.7,-0.02
36.13,-320.02,,24.7,0.22
36.16,-319.92,,24.71,-0.28
36.2,-320.04,,24.7,0.05
36.23,-320.02,,24.7,0.04
36.26,-320,,24.7,0.13
36.3,-319.95,,24.71,0.07
36.33,-319.92,,24.71,1.9
36.36,-319.12,,24.77,0.46
36.4,-318.93,,24.79,0.35
36.43,-318.78,,24.8,1.9
36.46,-317.98,,24.86,2.14
36.5,-317.08,,24.94,2.02
36.53,-316.23,,25,1.01
36.56,-315.81,,25.04,1.56
36.6,-315.15,,25.09,0.54
36.63,-314.92,,25.11,2.09
36.66,-314.04,,25.18,0.5
36.7,-313.83,,25.19,1.37
36.73,-313.26,,25.24,0.84
36.76,-312.9,,25.27,0.77
36.8,-312.58,,25.29,1.42
36.83,-311.98,,25.34,1.52
36.86,-311.34,,25.39,1.23
36.9,-310.82,,25.43,1.57
36.93,-310.16,,25.48,0.85
36.96,-309.81,,25.51,1.59
37,-309.14,,25.56,0.66
37.03,-308.86,,25.59,0.61
37.06,-308.61,,25.61,0.55
37.1,-308.38,,25.62,0.54
37.13,-308.15,,25.64,0.71
37.16,-307.85,,25.67,-0.06
37.2,-307.88,,25.66,1.38
37.23,-307.29,,25.71,0.54
37.26,-307.07,,25.73,0.29
37.3,-306.94,,25.74,0.31
37.33,-306.81,,25.75,-0.02
37.36,-306.82,,25.75,0.46
37.4,-306.63,,25.76,1.04
37.43,-306.19,,25.8,0.76
37.46,-305.87,,25.82,1.82
37.5,-305.1,,25.88,0.74
37.53,-304.79,,25.91,2.03
37.56,-303.94,,25.98,1.21
37.6,-303.43,,26.02,1.47
37.63,-302.81,,26.07,1.82
37.66,-302.04,,26.13,1.17
37.7,-301.55,,26.17,1.22
37.73,-301.04,,26.21,0.5
37.76,-300.83,,26.22,1.4
37.8,-300.24,,26.27,1.07
37.83,-299.79,,26.3,1.57
37.86,-299.13,,26.36,0.67
37.9,-298.85,,26.38,1.74
37.93,-298.12,,26.44,1.85
37.96,-297.34,,26.5,2.13
38,-296.44,,26.57,2.16
38.03,-295.53,,26.64,2.21
38.06,-294.6,,26.72,3.94
38.1,-292.95,,26.85,3.7
38.13,-291.39,,26.97,4.18
38.16,-289.63,,27.11,4.2
38.2,-287.86,,27.25,4.78
38.23,-285.85,,27.41,4.75
38.26,-283.85,,27.57,4.38
38.3,-282.01,,27.71,4.86
38.33,-279.96,,27.88,2.61
38.36,-278.86,,27.96,4.52
38.4,-276.96,,28.11,2.2
38.43,-276.03,,28.19,1.94
38.46,-275.22,,28.25,0.45
38.5,-275.03,,28.27,0.19
38.53,-274.95,,28.27,-0.18
38.56,-275.03,,28.27,-0.27
38.6,-275.14,,28.26,-1.87
38.63,-275.93,,28.19,-0.19
38.66,-276.01,,28.19,-1.55
38.7,-276.66,,28.14,-0.63
38.73,-276.93,,28.12,-0.02
38.76,-276.93,,28.12,0.11
38.8,-276.89,,28.12,0.31
38.83,-276.76,,28.13,1.93
38.86,-275.95,,28.19,1.98
38.9,-275.11,,28.26,2.33
38.93,-274.13,,28.34,2.7
38.96,-273,,28.43,2.81
39,-271.82,,28.52,3.57
39.03,-270.32,,28.64,3.49
39.06,-268.84,,28.76,2.89
39.1,-267.63,,28.85,3.52
39.13,-266.14,,28.97,3.59
39.16,-264.63,,29.09,3.77
39.2,-263.05,,29.21,2.84
39.23,-261.85,,29.31,4.14
39.26,-260.11,,29.45,2.57
39.3,-259.02,,29.53,2.09
39.33,-258.14,,29.6,1.22
39.36,-257.63,,29.64,1.25
39.4,-257.1,,29.69,0.25
39.43,-256.99,,29.69,0.47
39.46,-256.8,,29.71,0.69
39.5,-256.51,,29.73,0.07
39.53,-256.47,,29.74,1.17
39.56,-255.98,,29.77,2.07
39.6,-255.11,,29.84,1.97
39.63,-254.29,,29.91,2.33
39.66,-253.31,,29.99,3.03
39.7,-252.03,,30.09,3.52
39.73,-250.55,,30.2,3.91
39.76,-248.9,,30.33,5.16
39.8,-246.73,,30.51,4.3
39.83,-244.92,,30.65,5.56
39.86,-242.58,,30.84,6.2
39.9,-239.97,,31.04,5.06
39.93,-237.84,,31.21,5.68
39.96,-235.46,,31.4,4.22
40,-233.68,,31.54,4.6
40.03,-231.74,,31.69,3.82
40.06,-230.13,,31.82,3.33
40.1,-228.73,,31.93,3.19
40.13,-227.39,,32.04,3.35
40.16,-225.98,,32.15,2.17
40.2,-225.07,,32.22,2.31
40.23,-224.1,,32.3,2.18
40.26,-223.18,,32.37,1.85
40.3,-222.4,,32.43,1.81
40.33,-221.64,,32.49,1.49
40.36,-221.01,,32.54,0.29
40.4,-220.89,,32.55,0.17
40.43,-220.82,,32.56,-0.52
40.46,-221.03,,32.54,-1.45
40.5,-221.64,,32.49,-1.33
40.53,-222.2,,32.45,-1.36
40.56,-222.78,,32.4,-0.87
40.6,-223.14,,32.38,-1.56
40.63,-223.8,,32.32,-0.71
40.66,-224.1,,32.3,0.02
40.7,-224.09,,32.3,-0.38
40.73,-224.25,,32.29,0.57
40.76,-224.01,,32.31,0.86
40.8,-223.65,,32.33,1.69
40.83,-222.94,,32.39,3.46
40.86,-221.48,,32.51,2.75
40.9,-220.33,,32.6,3.64
40.93,-218.79,,32.72,4.32
40.96,-216.97,,32.86,4.39
41,-215.13,,33.01,5.14
41.03,-212.96,,33.18,4.62
41.06,-211.02,,33.34,4.41
41.1,-209.16,,33.48,4.72
41.13,-207.18,,33.64,3.29
41.16,-205.79,,33.75,4.69
41.2,-203.82,,33.91,3.39
41.23,-202.39,,34.02,3.48
41.26,-200.93,,34.13,3.6
41.3,-199.41,,34.25,3.35
41.33,-198,,34.37,2.37
41.36,-197,,34.45,2.67
41.4,-195.88,,34.53,2.53
41.43,-194.81,,34.62,2.44
41.46,-193.79,,34.7,2.5
41.5,-192.74,,34.78,2.98
41.53,-191.48,,34.88,2.85
41.56,-190.28,,34.98,4.45
41.6,-188.41,,35.13,3.94
41.63,-186.75,,35.26,4.13
41.66,-185.01,,35.4,4.89
41.7,-182.95,,35.56,6.43
41.73,-180.24,,35.77,5.58
41.76,-177.9,,35.96,5.22
41.8,-175.7,,36.13,7.82
41.83,-172.41,,36.39,6.14
41.86,-169.83,,36.6,8.07
41.9,-166.43,,36.87,8.71
41.93,-162.76,,37.16,6.94
41.96,-159.84,,37.39,8.4
42,-156.31,,37.67,7.33
42.03,-153.23,,37.91,6.74
42.06,-150.39,,38.14,10.31
42.1,-146.05,,38.48,6.61
42.13,-143.27,,38.7,5.26
42.16,-141.05,,38.88,9.82
42.2,-136.92,,39.2,5.9
42.23,-134.44,,39.4,5.83
42.26,-131.98,,39.59,5.21
42.3,-129.79,,39.77,6.39
42.33,-127.1,,39.98,9.5
42.36,-123.1,,40.3,4.91
42.4,-121.03,,40.46,6.64
42.43,-118.24,,40.68,8.51
42.46,-114.66,,40.97,6.53
42.5,-111.91,,41.18,4.85
42.53,-109.87,,41.35,7.3
42.56,-106.8,,41.59,9.32
42.6,-102.87,,41.9,6.34
42.63,-100.2,,42.11,5.51
42.66,-98,,42.29,4.54
42.69,-96.09,,42.44,4.76
42.73,-94.08,,42.6,8.92
42.76,-90.33,,42.89,5.37
42.79,-88.07,,43.07,4.42
42.83,-86.21,,43.22,4.65
42.86,-84.25,,43.37,5.37
42.89,-81.99,,43.55,7.4
42.93,-78.87,,43.8,5.08
42.96,-76.74,,43.97,5.25
42.99,-74.53,,44.14,4.39
43.03,-72.68,,44.29,8.42
43.06,-69.14,,44.57,5.36
43.09,-66.88,,44.75,5.43
43.13,-64.6,,44.93,5.43
43.16,-62.31,,45.11,5.8
43.19,-59.87,,45.31,9.31
43.23,-55.95,,45.62,6.42
43.26,-53.25,,45.83,5.83
43.29,-50.79,,46.02,6.5
43.33,-48.06,,46.24,8.63
43.36,-44.42,,46.53,8.08
43.39,-41.02,,46.8,7.05
43.43,-38.06,,47.03,6.35
43.46,-35.38,,47.24,8.27
43.49,-31.9,,47.52,6.85
43.53,-29.02,,47.75,6.6
43.56,-26.24,,47.97,6.85
43.59,-23.36,,48.2,7.78
43.63,-20.08,,48.46,6.85
43.66,-17.2,,48.69,8.39
43.69,-13.67,,48.96,6.36
43.73,-10.99,,49.18,9.33
43.76,-7.06,,49.49,6.48
43.79,-4.34,,49.7,8.42
43.83,-0.79,,49.98,6.35
43.86,1.88,,50.2,7.73
43.89,5.13,,50.45,6.71
43.93,7.96,,50.68,4.58
43.96,9.89,,50.83,7.65
43.99,13.11,,51.08,5.15
44.03,15.27,,51.26,6.77
44.06,18.12,,51.48,5.27
44.09,20.34,,51.66,6.17
44.13,22.94,,51.86,7.5
44.16,26.09,,52.11,6.93
44.19,29.01,,52.34,6.98
44.23,31.95,,52.58,7.28
44.26,35.01,,52.82,9.5
44.29,39.01,,53.14,7.36
44.33,42.11,,53.38,9.08
44.36,45.93,,53.68,9.38
44.39,49.88,,54,7.64
44.43,53.09,,54.25,9
44.46,56.88,,54.55,7.53
44.49,60.05,,54.8,7.85
44.53,63.36,,55.06,6.84
44.56,66.24,,55.29,8.69
44.59,69.9,,55.58,7.05
44.63,72.86,,55.82,6.75
44.66,75.7,,56.04,7.49
44.69,78.86,,56.29,6.12
44.73,81.43,,56.5,6.68
44.76,84.24,,56.72,6.9
44.79,87.14,,56.95,5.3
44.83,89.37,,57.13,4.67
44.86,91.34,,57.28,4.52
44.89,93.24,,57.43,4.39
44.93,95.09,,57.58,4.89
44.96,97.15,,57.74,4.25
44.99,98.94,,57.88,4.92
45.03,101.01,,58.05,5.14
45.06,103.17,,58.22,5.41
45.09,105.45,,58.4,6.3
45.13,108.11,,58.61,7.1
45.16,111.09,,58.85,7.36
45.19,114.19,,59.09,7.01
45.23,117.14,,59.32,9.02
45.26,120.94,,59.62,7.45
45.29,124.07,,59.87,7.28
45.33,127.14,,60.12,8.5
45.36,130.71,,60.4,7.52
45.39,133.88,,60.65,7.67
45.43,137.11,,60.91,6.91
45.46,140.01,,61.14,7.21
45.49,143.05,,61.38,6.61
45.53,145.83,,61.6,5.62
45.56,148.2,,61.78,6.42
45.59,150.9,,62,5.51
45.63,153.22,,62.18,6.33
45.66,155.88,,62.39,6.87
45.69,158.77,,62.62,6.59
45.73,161.55,,62.84,5.51
45.76,163.86,,63.02,6.12
45.79,166.44,,63.23,6.64
45.83,169.23,,63.45,6.88
45.86,172.13,,63.68,6.86
45.89,175.02,,63.91,9.99
45.93,179.22,,64.24,7.57
45.96,182.41,,64.49,7.83
45.99,185.7,,64.75,7.99
46.03,189.06,,65.02,6.92
46.06,191.98,,65.25,6.93
46.09,194.89,,65.48,7.65
46.13,198.12,,65.74,7.63
46.16,201.33,,65.99,8.85
46.19,205.05,,66.29,7.25
46.23,208.1,,66.53,5.69
46.26,210.5,,66.72,9.22
46.29,214.38,,67.02,8.33
46.33,217.88,,67.3,6.09
46.36,220.45,,67.51,8.52
46.39,224.03,,67.79,6.49
46.43,226.76,,68.01,9.88
46.46,230.92,,68.34,7.2
46.49,233.95,,68.58,7.36
46.53,237.05,,68.82,10.8
46.56,241.6,,69.18,6.7
46.59,244.42,,69.4,9.12
46.63,248.26,,69.71,9.37
46.66,252.2,,70.02,7.14
46.69,255.2,,70.26,9.26
46.73,259.1,,70.57,9.71
46.76,263.19,,70.89,6.05
46.79,265.73,,71.09,8.54
46.83,269.33,,71.38,8.89
46.86,273.07,,71.67,4.68
46.89,275.04,,71.83,9.5
46.93,279.04,,72.15,7.72
46.96,282.29,,72.4,4.53
46.99,284.19,,72.55,9.05
47.03,288,,72.86,8.03
47.06,291.38,,73.12,5.74
47.09,293.8,,73.31,7.48
47.13,296.95,,73.56,6
47.16,299.48,,73.76,7.73
47.19,302.73,,74.02,10.24
47.23,307.04,,74.36,4.8
47.26,309.06,,74.52,9.53
47.29,313.07,,74.84,5.06
47.33,315.2,,75.01,8.45
47.36,318.76,,75.29,9.47
47.39,322.75,,75.61,8.23
47.43,326.21,,75.88,6.12
47.46,328.78,,76.09,7.95
47.49,332.13,,76.35,9.34
47.53,336.06,,76.66,4.69
47.56,338.04,,76.82,8.33
47.59,341.54,,77.1,8.31
47.63,345.04,,77.37,7.56
47.66,348.22,,77.63,6.36
47.69,350.9,,77.84,9.11
47.73,354.74,,78.14,9.03
47.76,358.54,,78.44,8.21
47.79,361.99,,78.72,7.27
47.83,365.05,,78.96,9.4
47.86,369.01,,79.27,7.98
47.89,372.37,,79.54,8.68
47.93,376.02,,79.83,5.92
47.96,378.51,,80.02,8.17
47.99,381.95,,80.3,9.24
48.03,385.84,,80.6,6.5
48.06,388.57,,80.82,10.09
48.09,392.82,,81.16,7.4
48.13,395.94,,81.4,6.61
48.16,398.72,,81.62,8.76
48.19,402.41,,81.92,8.79
48.23,406.1,,82.21,4.89
48.26,408.16,,82.37,8.82
48.29,411.87,,82.67,7.6
48.33,415.07,,82.92,8.89
48.36,418.81,,83.22,7.72
48.39,422.07,,83.47,5.02
48.43,424.18,,83.64,7.28
48.46,427.24,,83.88,7.31
48.49,430.32,,84.13,8.35
48.53,433.84,,84.41,5.41
48.56,436.11,,84.59,7.58
48.59,439.3,,84.84,6.68
48.63,442.11,,85.06,8.08
48.66,445.51,,85.33,6.58
48.69,448.28,,85.55,6.83
48.73,451.16,,85.78,4.48
48.76,453.04,,85.93,7.23
48.79,456.09,,86.17,6.57
48.83,458.85,,86.39,6.36
48.86,461.53,,86.6,6.15
48.89,464.12,,86.8,5.67
48.93,466.5,,86.99,5.9
48.96,468.99,,87.19,3.23
48.99,470.34,,87.3,4.6
49.03,472.28,,87.45,5.58
49.06,474.63,,87.64,5.84
49.09,477.09,,87.83,5.06
49.13,479.22,,88,4.58
49.16,481.14,,88.15,5.63
49.19,483.51,,88.34,2.35
49.23,484.5,,88.42,5.27
49.26,486.72,,88.59,5.41
49.29,489,,88.77,5.16
49.33,491.17,,88.95,5.96
49.36,493.68,,89.14,5.68
49.39,496.07,,89.33,4.47
49.43,497.95,,89.48,6.28
49.46,500.59,,89.69,5.83
49.49,503.04,,89.89,7
49.53,505.99,,90.12,5.21
49.56,508.18,,90.29,2.31
49.59,509.16,,90.37,5.96
49.63,511.66,,90.57,5.32
49.66,513.9,,90.75,4.06
49.69,515.61,,90.88,4.18
49.73,517.37,,91.02,4.21
49.76,519.14,,91.16,3.68
49.79,520.69,,91.28,4
49.83,522.37,,91.42,3.09
49.86,523.67,,91.52,4.03
49.89,525.37,,91.65,1.42
49.93,525.96,,91.7,3.14
49.96,527.28,,91.81,6.69
49.99,530.1,,92.03,4.71
50.03,532.08,,92.19,7.34
50.06,535.17,,92.43,7.11
50.09,538.16,,92.67,3.33
50.13,539.56,,92.78,7.58
50.16,542.75,,93.03,8.77
50.19,546.44,,93.32,7.34
50.23,549.53,,93.57,8.29
50.26,553.02,,93.84,5.1
50.29,555.17,,94.01,7.45
50.33,558.3,,94.26,9.07
50.36,562.12,,94.56,4.79
50.39,564.13,,94.72,8.27
50.43,567.61,,95,8.18
50.46,571.06,,95.27,7.09
50.49,574.04,,95.51,4.09
50.53,575.76,,95.65,7.85
50.56,579.07,,95.91,8.04
50.59,582.45,,96.17,5.71
50.63,584.85,,96.37,7.24
50.66,587.9,,96.61,7.13
50.69,590.9,,96.84,7.06
50.73,593.87,,97.08,7.22
50.76,596.91,,97.32,4.72
50.79,598.9,,97.48,5.23
50.83,601.1,,97.65,6.06
50.86,603.65,,97.85,5.48
50.89,605.96,,98.04,5.21
50.93,608.15,,98.21,7.07
50.96,611.13,,98.45,4.46
50.99,613,,98.59,6.55
51.03,615.76,,98.81,8.02
51.06,619.14,,99.08,6.8
51.09,622,,99.31,5.63
51.13,624.37,,99.49,6.61
51.16,627.15,,99.72,6.47
51.19,629.88,,99.93,7.1
51.23,632.87,,100.17,6.51
51.26,635.61,,100.38,5.2
51.29,637.79,,100.56,5.6
51.33,640.15,,100.74,5.49
51.36,642.46,,100.93,4.4
51.39,644.31,,101.07,4.15
51.43,646.06,,101.21,4.75
51.46,648.06,,101.37,4.87
51.49,650.11,,101.53,3.69
51.53,651.66,,101.66,4.79
51.56,653.68,,101.82,4.34
51.59,655.51,,101.96,3.82
51.63,657.12,,102.09,3.34
51.66,658.52,,102.2,3.97
51.69,660.19,,102.33,3.68
51.73,661.74,,102.45,4.62
51.76,663.69,,102.61,3.57
51.79,665.19,,102.73,4.35
51.83,667.02,,102.87,4.46
51.86,668.9,,103.02,4.98
51.89,670.99,,103.19,5.04
51.93,673.11,,103.36,5.05
51.96,675.24,,103.52,4.1
51.99,676.96,,103.66,5.29
52.03,679.19,,103.84,6.22
52.06,681.8,,104.04,4.98
52.09,683.9,,104.21,6.96
52.13,686.83,,104.44,4.73
52.16,688.82,,104.6,5.91
52.19,691.31,,104.8,6.54
52.23,694.06,,105.01,5.4
52.26,696.33,,105.19,6.61
52.29,699.12,,105.41,4.58
52.33,701.04,,105.57,6.41
52.36,703.74,,105.78,6.59
52.39,706.52,,106,5.79
52.43,708.95,,106.19,5.26
52.46,711.17,,106.37,4.08
52.49,712.88,,106.5,7.45
52.53,716.02,,106.75,5.32
52.56,718.26,,106.93,4.67
52.59,720.22,,107.09,6.15
52.63,722.81,,107.29,4.49
52.66,724.7,,107.44,3.51
52.69,726.18,,107.56,3.12
52.73,727.49,,107.66,4.04
52.76,729.19,,107.8,1.99
52.79,730.03,,107.86,2.17
52.83,730.94,,107.93,2.15
52.86,731.85,,108.01,2.85
52.89,733.05,,108.1,2.5
52.93,734.1,,108.18,2.95
52.96,735.34,,108.28,3.41
52.99,736.77,,108.4,2.83
53.03,737.96,,108.49,2.53
53.06,739.03,,108.58,2.63
53.09,740.14,,108.66,6.37
53.13,742.82,,108.88,8.22
53.16,746.28,,109.15,8.07
53.19,749.68,,109.42,9.84
53.23,753.82,,109.75,7.59
53.26,757.02,,110,0
